@id,name,amenity,`addr:street`,addr:city,`@lat`,`@lon`
5054002331,Pharmacie Labaraka صيدلية البركة,pharmacy,Omar Ibn Abdeljalil Hay Adarissa,Fès,34.0189521,-5.0152133
5054019822,Pharmacie Ennassiri صيدلية الناصري,pharmacy,Route Ain Smen Hay Badr,Fès,34.0233883,-5.0210753
5055972121,Pharmacie Omari صيدلية عماري,pharmacy,HAY SAADA,Fès,34.0268791,-5.0063514
5081200223,Pharmacie Demnati صيدلية الدمناتي,pharmacy,9 HAY GRIOU ZOUAGHA,Fès,34.0207935,-5.0303522
5084491622,Pharmacie Platanes صيدلية السيجان,pharmacy,,Fès,34.0043523,-5.00755
5085452623,Pharmacie de l'Atlas صيدلية الأطلس,pharmacy,,Fès,34.0318989,-4.9948294
5100489621,Pharmacie Afifa صيدلية عفيفة,pharmacy,HAY SAADA RESIDENCE NOUR,Fès,34.0234473,-5.0091718
5107085722,Pharmacie Ifrane صيدلية إفران,pharmacy,Lot QODS route Immouzer,Fès,34.0144858,-5.0015964
5117313022,Pharmacie Al Korachi صيدلية القرشي,pharmacy,,Fès,34.0191247,-5.0016602
5119394922,Pharmacie Jabri صيدلية جابري,pharmacy,,Fès,34.0158774,-5.0043792
5128231924,Pharmacie L'Opera صيدلية الأوبرا,pharmacy,LOT 94 MAGAZINE AIT SKATTO,Fès,34.0288781,-4.9951509
5130402124,Pharmacie Erriad صيدلية الرياض,pharmacy,,Fès,34.0244919,-5.0126568
5130442846,Pharmacie Mekouar صيدلية مكوار,pharmacy,Avenue Roi Houssaine Route d ' Immouzzer Resi Riad,Fès,34.0309569,-4.9981453
5132771421,Clinique Les Jumelles,clinic,Avenue Roi Houssaine Rue Ibn Hani Face al Omrane,,34.030257,-4.9985712
5142826921,Pharmacie Pasteur صيدلية باستور,pharmacy,HAY SALAM BOURKAYEZ,Fès,34.0271122,-5.009844
5147046921,Clinique Saada,clinic,Hay Zaza,,34.0254959,-5.0041032
5147303621,Pharmacie Arrazi صيدلية الرازي,pharmacy,Boulevard Moulay Hicham,Fès,34.0260606,-4.9976251
5158675622,clique assalam,clinic,Ait Skatou,ait skatou,34.0260471,-4.9994625
5173841426,Pharmacie Conseil صيدلية النصيحة,pharmacy,Route de Sefrou Lotis Ouafae 1,Fès,34.0132374,-4.9815705
5183381724,Pharmacie Al Ihssane,pharmacy,6 LOTISS EL WAFA BD MY RACHID RTE SEFROU FEZ,Fès,34.0101598,-4.9792405
5184257351,Pharmacie El Karam صيدلية الكرم,pharmacy,DHAR LKHMISS L'HABITAT,Fés,34.0698093,-4.9870605
5185720525,Pharmacie Blanco صيدلية بلانكو,pharmacy,Ridicule Yasmine rte Ain chqef,Fès,33.9992559,-5.0091302
5185876621,Pharmacie El Majd صيدلية المجد,pharmacy,Avenue Karouyine شارع القرويين,Fès,34.0177335,-4.980803
5188283423,Pharmacie Al Ahbab صيدلية الأحباب,pharmacy,254 Lot fadela 3 rte Ain chkef,Fès,33.9992501,-5.004313
5190415822,Pharmacie Taiba صيدلية طيبة,pharmacy,Route Ain Chkef,Fès,34.001416,-5.0066556
5190427838,Pharmacie Ibn Khaldoun صيدلية ابن خلدون,pharmacy,Avenue Karouyine شارع القرويين,Fés,34.0144522,-4.9717966
5194917728,Pharmacie C.H.U Hassan II صيدلية الحسن الثاني,pharmacy,Avenue My Rachid Route de Sefrou Zohor 2 Lotis Laila,Fès,34.0076473,-4.9779753
5201978023,Pharmacie Al Inaya صيدلية العناية,pharmacy,Avenue Karouyine شارع القرويين,Fès,34.0166064,-4.9775556
5203942033,Pharmacie Al Ikhwa صيدلية الإخوة,pharmacy,Route Ain Chkef,Fès,34.0069752,-5.0085257
5203986721,Pharmacie Haoudi صيدلية هاودي,pharmacy,Avenue Karouyine شارع القرويين,Fès,34.0196338,-4.9851537
5204002337,Pharmacie Najmi صيدلية نجمي,pharmacy,Hay anas rte ain chkef,Fès,34.0067506,-5.0053672
5204049521,Pharmacie La Victoire صيدلية النصر,pharmacy,Avenue Abi Horaira Zohor 1,Fès,34.0178887,-4.9862395
5206234024,Pharmacie Fatima Ezzahra صيدلية فاطمة الزهراء,pharmacy,2 LOT TOURIA ANAS 3,Fès,34.0046872,-5.0014405
5207338425,Pharmacie El Houda صيدلية الهدى,pharmacy,Avenue Abi Horaira Zohor 1,Fès,34.0171254,-4.9894159
5216068021,Pharmacie Bakkali صيدلية البقالي,pharmacy,Route Ain Chkef,Fès,34.0103035,-5.0057817
5217881721,Pharmacie Florida صيدلية فلوريدا,pharmacy,Hay Anass 3,Fès,34.0076467,-5.0031474
5217885522,Pharmacie Mont Fleuri صيدلية الجبل,pharmacy,Avenue Karama Zohour 1,Fès,34.0152601,-4.9860772
5219627522,Pharmacie Al Yousr صيدلية اليسر,pharmacy,Complexe Salalam rte immouzer,Fès,34.012366,-5.0027424
5231444736,Pharmacie Al Fadila صيدلية الفضيلة,pharmacy,Avenue Karama Zohour 1,Fès,34.0114188,-4.988769
5239191223,Pharmacie Ryad صيدلية الرياض,pharmacy,Avenue Ibn Khatteb acces bouremana,Fès,34.0265672,-4.9935021
5239191257,Pharmacie Ghizlane صيدلية غزلان,pharmacy,RTE DE SEFROULOTISS OUAFAE N 342 FES,Fés,34.0057403,-4.9687656
5239191525,Pharmacie l'Entente صيدلية الإتفاق,pharmacy,160 LOTTI ERAC HAY WIFAK RTE AIN SMEN,Fès,34.0242974,-4.9897763
5239191530,Pharmacie Route de Sefrou صيدلية طريق صفرو,pharmacy,Boulevard Moulay Rachid,Fès,34.0212182,-4.9879182
5239335924,Pharmacie Faculté de Médecine صيدلية كلية الطب,pharmacy,hay elamal rte de sefrou,Fès فاس,34.0076423,-4.9652236
5240910822,Pharmacie Fès Shore صيدلية فاس شور,pharmacy,Route du parc Fes-Shore,Fès فاس,34.0093643,-4.9616705
5241087321,Pharmacie Nour El Houda صيدلية نور الهدى,pharmacy,BVD Israe,Fès,34.0129244,-4.965755
5244010021,Pharmacie Champs de Courses صيدلية ملعب الخيل,pharmacy,champs de Cours,Fès فاس,34.036918,-5.0152573
5244887442,Pharmacie Firdaous صيدلية الفردوس,pharmacy,Avenue Al Manama Zohour 1,Fès,34.0146357,-4.9897963
5250338721,Pharmacie de l'Hôpital Universitaire صيدلية المستشفى الجامعي,pharmacy,Al Madina Mounawara,Fès ⴼⴰⵙ فاس,34.0106557,-4.9657329
5251848522,Pharmacie Ibn Hazm صيدلية بن حزم,pharmacy,,Fès,34.0091231,-4.9695833
5260991734,Pharmacie Yasmine صيدلية ياسمين,pharmacy,BVD D'oran mont fleuri 2,Fès,34.0102284,-4.9880887
5263513421,Pharmacie Ben Cheikh صيدلية ابن الشيخ,pharmacy,,Fés,34.0127576,-4.9700355
5263754721,Pharmacie Al Wassila صيدلية الوسيلة,pharmacy,200 ROUTE DE SEFROU LOTTI WAFAE FEZ,Fès,34.0063267,-4.9737192
5269865621,Pharmacie Al Fajr صيدلية الفجر,pharmacy,Av Ocean Pacifique Hay Riad,Fès ⴼⴰⵙ فاس,34.0154938,-4.9630375
5270743531,Pharmacie Beyrout صيدلية بيروت,pharmacy,139 av bayrout mont fleuri 1,Fès,34.0078871,-4.984039
5270743624,Pharmacie Lahbabi صيدلية لحبابي,pharmacy,BV BAYROUT Résidence Rawd Azhar Mont fleuri,Fès,34.0044736,-4.9892319
5281877223,Pharmacie le Docteur صيدلية الدكتور,pharmacy,Av Anawal Narjis D,Fès ⴼⴰⵙ فاس,34.018087,-4.9665089
5283794728,Pharmacie Mourchid صيدلية مرشد,pharmacy,bvd Attadhia Narjiss,Fès,34.0133949,-4.9784725
5291622524,Pharmacie Complexe Sportif صيدلية المركب الرياضي,pharmacy,Av Rahma Narjis,Fès ⴼⴰⵙ فاس,34.0171017,-4.9699202
5293570222,Pharmacie Lina صيدلية لينة,pharmacy,Avenue Al Majd,Fès,34.0166758,-4.9745419
5295524721,Pharmacie Azzouzi صيدلية عزوزي,pharmacy,Avenue Al Wahda,Fès,34.0153241,-4.9795386
5298347522,Pharmacie Yousfi صيدلية يوسفي,pharmacy,LOT LAZRAK MONT FLEURI 2,Fès,34.0057858,-4.9834357
5303210932,Pharmacie Sidi Brahim صيدلية سيدي ابراهيم,pharmacy,HAY EL QODS 2 BLOC 13 ERAC SIDI BRAHIM FES,Fès,34.0201153,-4.9703139
5303267325,Pharmacie Noureddine صيدلية نور الدين,pharmacy,Awint Al Hajaj Bloc A4,Fès ⴼⴰⵙ فاس,34.0200563,-4.9641712
5304746323,Pharmacie du Quartier Industriel صيدلية الحي الصناعي,pharmacy,HAY SIDI BRAHIM BLOC 18 N 6 ERAC FES,Fès ⴼⴰⵙ فاس,34.0222491,-4.9714568
5308231623,Pharmacie Talbi صيدلية طالبي,pharmacy,Avenue Errahma,Fès ⴼⴰⵙ فاس,34.0193429,-4.9765996
5309147427,Pharmacie Al Ikhlasse صيدلية الإخلاص,pharmacy,Avenue Koufa Zohour 2,Fès,34.0041222,-4.978387
5309148523,Pharmacie Zohour صيدلية الزهور,pharmacy,Zohour 2,Fès,34.0044491,-4.9828381
5309148722,Pharmacie Al Akhawayn صيدلية الأخوين,pharmacy,Avenue Ismailia Mont fleuri2,Fès,34.0074565,-4.9804051
5316237421,Pharmacie Hay El Hassani صيدلية حي الحساني,pharmacy,HAY EI HASSANI BLOC 4 ERAC SIDI BRAHIM,Fès ⴼⴰⵙ فاس,34.0209771,-4.9744947
5316386524,Pharmacie Narjiss صيدلية النرجس,pharmacy,,Fès,34.0206094,-4.9788651
5316862623,Pharmacie Ismailia صيدلية الإسماعيلية,pharmacy,Avenue Ismailia Lotis Lahlou Zohour 1,Fès,34.0109079,-4.9831621
5320229021,Pharmacie Cotef صيدلية كوطيف,pharmacy,,Fès,34.0227418,-4.9779877
5320984826,Pharmacie Saoussane صيدلية سوسن,pharmacy,Avenue Benzert,Fès,34.002518,-4.9877202
5320984833,Pharmacie La Famille صيدلية العائلة,pharmacy,Avenue Chenguit Zohour 2,Fès,34.0050682,-4.9869764
5333830028,Clinique de La Vision de Fes,clinic,Avenue My Abdellah Route d ' Imouzzer Fès Saiss Lotis Riad Annakhil,,33.9935097,-4.991849
5333830031,Pharmacie Hameda Benchekroun صيدلية حميدة بنشقرون,pharmacy,llah Route d ' Imouzzer Rue Bab Mansour,Fès,34.0086636,-4.993274
5333830122,Polyclinique Annakhil,clinic,Avenue My Abdellah Route d ' Imouzzer Fès Saiss,,33.9950093,-4.9934955
5333830421,Pharmacie La Suite صيدلية لاسويط,pharmacy,85lotiss Riad Nakhil route Immouzzer Fes,Fès,33.9939304,-4.9905295
5356941721,Pharmacie Makro صيدلية ماكرو,pharmacy,3 lotti N 15 cartier bensouda,Fès,34.0201123,-5.0532944
5358636223,La Grande Pharmacie الصيدلية الكبرى,pharmacy,BENSOUDA EN FACE DE ATACADAO,Fès,34.0239277,-5.0555968
5360680621,Pharmacie El Boutahri صيدلي البوطهري,pharmacy,lotti hawae jamil Masjid 1 rte ras l ma,Fès,34.0182077,-5.0574499
5361001722,Pharmacie Assafwa صيدلية الصفوة,pharmacy,N 24 LOT LAALEJ BENSOUDA,Fès,34.0215063,-5.0490094
5361214423,Pharmacie El Hijazi صيدلية الحجازي,pharmacy,17 Lotiss Hatim Bensoudza,Fès,34.0202864,-5.0462911
5370125323,Pharmacie Sandra صيدلية ساندرا,pharmacy,Lot Mssafer Bensouda,Fès,34.0242119,-5.0506962
5370323321,Pharmacie Zouagha Bas صيدلية الزواغة السفلى,pharmacy,Lot Moulay Driss hay el marja,Fès,34.0277814,-5.0462297
5372625428,Pharmacie Al Hamd صيدلية الحمد,pharmacy,HAY LMARJA RTE ZOUAGHA FES,Fès,34.0274386,-5.0413497
5375123532,Pharmacie El Qods صيدلية القدس,pharmacy,,Fès,34.0156066,-5.0510426
5375153021,Pharmacie L'Avenir صيدلية المستقبل,pharmacy,122 LOTTI TAOUFIK AL MARJAT,Fès,34.0303541,-5.0410357
5377810721,Pharmacie Al Marja صيدلية المرجة,pharmacy,Rue 27 Marja,Fès,34.0312285,-5.0446229
5377973123,Pharmacie Attaakhi صيدلية التآخي,pharmacy,Lot Star Sakane marja,Fès,34.031626,-5.051411
5392797622,Pharmacie Arreda صيدلية الرضا,pharmacy,ZOUAGHA RTE BENSOUDA,Fès,34.0365448,-5.0494287
5393784822,Pharmacie Sefrioui صيدلية الصفريوي,pharmacy,Route d ' Ain Chkef,Fès,34.0088152,-5.0097849
5393785323,Pharmacie Diamant Vert صيدلية الجوهرة الخضراء,pharmacy,Route d ' Ain Chkef Lotis Karaouiyine,Fès,34.0009245,-5.0120511
5395575621,Pharmacie Ouad El Jawahir صيدلية واد الجواهر,pharmacy,4 RUE 15 BLOC D HAY OUED FEZ MARJA,Fès,34.0388197,-5.0507853
5398354121,Pharmacie Wafi صيدلية الوافي,pharmacy,Riad Zouhour Marja Ouad,Fès,34.036935,-5.0441143
5398499522,Pharmacie Espace Santé صيدلية فضاء الصحة,pharmacy,235 LOTTI EZZOHOR HAY EL MARJA,Fès,34.0341382,-5.0436688
5398558823,Pharmacie Haj Bensalem صيدلية الحاج بنسالم,pharmacy,Hay Mikou Marja Ouad,Fès,34.0351489,-5.038962
5398624423,Pharmacie Italia صيدلية إيطاليا,pharmacy,Hay Tazi Marja Ouad,Fès,34.0401158,-5.0349723
5400932621,Pharmacie Al Najoua صيدلية النجوى,pharmacy,1 RUE 9 HAY MIKOU MERJA FEZ,Fès,34.0375903,-5.0406043
5407132238,Pharmacie El Iraki صيدلية العراقي,pharmacy,,Fès,34.0147038,-5.0486606
5407220722,Pharmacie Al Oumma صيدلية الأمة,pharmacy,61B ROUTE BENSOUDA ZOUAGHA,Fès,34.0233281,-5.0375648
5414211822,Pharmacie Zouagha صيدلية الزواغة,pharmacy,ZOUAGHAT RTE BENSOUDA,Fès,34.0247648,-5.0351104
5424399125,Pharmacie Bensouda صيدلية بن سودة,pharmacy,3 hay Msallah fes,Fès,34.0170139,-5.0531777
5424447822,Pharmacie Av Med VI صيدلية شارع محمد السادس,pharmacy,BVD MOHAMMED 6 ZOUAGHAT,Fès,34.0263639,-5.028244
5430059334,Pharmacie des Sciences صيدلية العلوم,pharmacy,347 LOT QUARAOUIYINE RTE AIN CHEKAF,Fès,34.0104753,-5.0176469
5437048725,Pharmacie Sekkat صيدلية السقاط,pharmacy,hay nakhil rte bain smen,Fès,34.0125631,-5.0227221
5437151022,Pharmacie Al Wahda صيدلية الوحدة,pharmacy,bd Abou houraira mont fleuri 1 FES,Fès,34.0132168,-5.0514716
5439966421,Pharmacie Kandoussi صيدلية القندوسي,pharmacy,132 Lotiss farah bensouda fes,Fès,34.0037878,-5.0446424
5445400122,Pharmacie Ain Smen صيدلية عين السمن,pharmacy,HAY AL WEFAK BLOC N 172 FEZ,Fès,34.0120186,-5.0262209
5446674221,Pharmacie Errachidia صيدلية الراشدية,pharmacy,LOT ARRACHIDIA RTE AIN CHEKEF,Fès,34.015282,-5.0136845
5472824321,Pharmacie Al Wissal صيدلية الوصال,pharmacy,PROJET WIAM RESIDENCE ZAHRAE HAY NASSIM FES,Fès ⴼⴰⵙ فاس,33.9952412,-5.0560575
5472942725,Pharmacie Al Kaoutar صيدلية الكوثر,pharmacy,210 BLOC A HAY WIFAK RTE AIN SMEN,Fès,34.0136031,-5.0293645
5490795223,Pharmacie Fahmi صيدلية فهمي,pharmacy,Hay Griyou Zouagha Haute,Fès,34.0170581,-5.0296466
5490862523,Pharmacie Ayoub صيدلية أيوب سيد الهادي,pharmacy,Hay Griyou Zouagha Haute,Fès,34.0153361,-5.031363
5495984921,Pharmacie Basma,pharmacy,Hay Jadid Zouagha Haute,,34.0173431,-5.0331285
5496103023,Pharmacie Annamae صيدلية النماء,pharmacy,,Fès,33.9986675,-5.0577644
5496517321,Pharmacie la Ferraille صيدلية لافيراي,pharmacy,,Fès,33.999834,-5.0540763
5505183922,Pharmacie le Coin صيدلية الركن,pharmacy,Hay Jdid Zouagha Haute,Fès,34.012893,-5.0331652
5507936522,Pharmacie Sanabil صيدلية السنابل,pharmacy,BVD Sanabil Zouagha Haute,Fès,34.021261,-5.03528
5522399521,Pharmacie Dar Es-Salam صيدلية دار السلام,pharmacy,Lot Mhamdia Zouagha Haute,Fès,34.0232632,-5.0287799
5524915624,Pharmacie Addoha صيدلية الضحى,pharmacy,Bloc B Zouagha Haute,Fès فاس,34.0237733,-5.0322943
5525093277,Pharmacie Oum El Koura صيدلية أم القرى,pharmacy,Hay Jdid Zouagha Haute,Fès,34.0184753,-5.0364946
5527473421,Pharmacie Al Farouk صيدلية الفاروق,pharmacy,Hay Sidi Lhadi Zouagha Haute,Fès,34.0203423,-5.0385293
5527619921,Pharmacie Sidi El Hadi صيدلية سيدي الهادي,pharmacy,Hay Sidi El Hadi,Fès,34.0183742,-5.0407606
5527682122,Pharmacie Al Khattabi صيدلية الخطابي,pharmacy,Lot Adouha Zouagha Haute,Fès,34.0139363,-5.0434335
5528634825,Pharmacie des Roches صيدلية الصخور,pharmacy,,Fès,33.9948567,-5.0078415
5552817821,Pharmacie Sagha صيدلية الصاغة,pharmacy,,Fès,34.066239,-4.9748059
5558873045,Cabinet Cardiologue,clinic,,,34.0356801,-5.0007628
5558891231,Cabinet de Rheumatologie,hospital,,rue mohamed ZARKTOUNI FEZ,34.0369853,-5.0019344
5718733521,Pharmacie Chifae Arrahmane صيدلية شفاء الرحمان,pharmacy,,Fès,34.0516802,-5.0433317
5727962822,Pharmacie Jardin de Tghath صيدلية حديقة تغاث,pharmacy,Avenue Moussa Ben Noussair,Fès,34.0595306,-5.0238346
5735067971,Pharmacie Errachid صيدلية الرشيد,pharmacy,,Fès ⴼⴰⵙ فاس,34.0704938,-4.9996766
5735223007,Pharmacie Al Imam Mouslim صيدلية الإمام مسلم,pharmacy,,Fès ⴼⴰⵙ فاس,34.0670337,-5.0108801
